1,はぁ,なんで？の「はぁ」,力をためる「はぁ」,ぼうぜんの「はぁ」,感心の「はぁ」,怒りの「はぁ」,とぼけの「はぁ」,おどろきの「はぁ」,失恋の「はぁ」
2,いやー,褒められた時の「いやー」,考え事をしながら「いやー」,お願いを断る「いやー」,おばけを見て「いやー」,ごまかす「いやー」,マジでムリ！の「いやー」,待てよ？の「いやー」,ハッピーニュー「いやー」
3,うそ,突然のプレゼントに「うそ」,財布を無くして「うそ」,相手をバカにした「うそ」,恋人にいじわるして「うそ」,衝撃の事実を知って「うそ」,完全に疑っているときの「うそ」,ドッキリのネタばらしの「うそ」,女子高生があいづちに使う「うそ」
4,うわーっ,体重計に乗って「うわーっ」,見上げて「うわーっ」,驚かそうとして「うわーっ」,同情して「うわーっ」,軽蔑して「うわーっ」,ジェットコースターで「うわーっ」,ゴキブリを見つけて「うわーっ」,プレゼントを開けて「うわーっ」
5,うん,素直に「うん」,踏ん張って「うん」,おあしいな。の「うん」,恥ずかしがって「うん」,興味のない「うん」,元気いっぱいに「うん」,悩んで「うん」,とまどって「うん」
6,えー,アルファベットの「えー」,膨大な宿題に「えー」,告白されて「えー」,聞き取れない時の「えー」,スピーチの「えー」,マジで？の「えー」,半ギレの「えー」,パニックの「えー」
7,がんばれ,見下して「がんばれ」,軽く「がんばれ」,熱く「がんばれ」,明るく「がんばれ」,遠くに向かって「がんばれ」,起こって「がんばれ」,色っぽく「がんばれ」,つらいけど・・・「がんばれ」
8,さぁ,とぼけた「さぁ」,料理をふるまう「さぁ」,物語の始まりに「さぁ」,お客を集めるときの「さぁ」,冷たく「さぁ」,実況中継の「さぁ」,帰る時の「さぁ」,そよ風の「さぁ」
9,自己紹介,ヒーロー風に「【名前】です」,セクシーに「【名前】です」,悪役っぽく「【名前】です」,天才っぽく「【名前】です」,クールに「【名前】です」,怪力男で「【名前】です」,超美形で「【名前】です」,普通に「【名前】です」
10,好き,グッと来る「好き」,いたずらっぽく「好き」,さりげない「好き」,偽りの「好き」,色っぽい「好き」,私のこと本当に「好き」,下心ありの「好き」,気持ち悪い「好き」
11,スモモもモモもモモのうち,猛スピードを目指して,正確さを目指して,かっこよく,失敗しても平然と,冷静に,アクセントを間違えて,セクシーに,「モ」を一回だけ多く
12,そんな,値段が高くて「そんな」,裏切られて「そんな」,信じられなくて「そんな」,照れて「そんな」,自動ドアにはさまれて「そんな」,追い詰められて「そんな」,落ち込んで「そんな」,驚いて「そんな」
13,大丈夫,安心させる時の「大丈夫」,心配して「大丈夫」,そっけない「大丈夫」,私に任せなさい、の「大丈夫」,キザに「大丈夫」,詐欺師が言う「大丈夫」,ビックリして「大丈夫」,大丈夫じゃない時の「大丈夫」
14,なんで,手品におどろいて「なんで」,不機嫌に「なんで」,自分を責めて「なんで」,ありえない！の「なんで」,パニックになって「なんで」,わがままの「なんで」,フラれた時の「なんで」,カレー屋の注文で「ナンで」
15,にゃー,捨て猫の「にゃー」,猫に向かって「にゃー」,甘えた「にゃー」,リアル猫の「にゃー」,混乱した時の「にゃー」,威嚇の「にゃー」,ねむい時の「にゃー」,かわいい「にゃー」
16,はい,ノックされた時の「はい」,聞き返す時の「はい」,出欠確認の「はい」,やる気のない「はい」,プレゼントを渡す時の「はい」,怒られている時の「はい」,驚いた時の「はい」,告白OKの時の「はい」
17,ぷー,怒って「ぷー」,おならの「ぷー」,かわいく「ぷー」,おかしくて「ぷー」,力が抜けて「ぷー」,色っぽく「ぷー」,ラッパの「ぷー」,膨らんで「ぷー」
18,ふぅ,つかれて「ふぅ」,熱いものを冷ます「ふぅ」,テンションが上って「ふぅ」,課題が終わって「ふぅ」,手についたゴミを飛ばして「ふぅ」,お風呂を出て「ふぅ」,ろうそくを消して「ふぅ」,ギリギリセーフの「ふぅ」
19,ふん,可愛く怒って「ふん」,仕返しの「ふん」,聞き流す時の「ふん」,納得した時の「ふん」,力をためて「ふん」,興味がなさそうに「ふん」,鼻で笑って「ふん」,犬のうんちを見つけて「ふん」
20,もう,からかわれて「もう」,時間がせまって「もう」,しょうがないなぁ、の「もう」,イライラして「もう」,くすぐられて「もう」,激怒して「もう」,おおらかな乳牛の「もう」,攻撃的な闘牛の「もう」
21,ヤバい,美味しすぎて「ヤバい」,胸キュンの「ヤバい」,寝坊した時の「ヤバい」,面白すぎて「ヤバい」,宝くじが当たって「ヤバい」,身の危険を感じて「ヤバい」,トイレに行きたくて「ヤバい」,ハイテンションな時の「ヤバい」
22,笑い声,大魔神の笑い声,お姫様の笑い声,赤ちゃんの笑い声,おばあちゃんの笑い声,気持ち悪い笑い声,爽やかな笑い声,人をバカにしている笑い声,こらえきれなくなった笑い声
23,ワン,元気よく吠えて「ワン」,悲しそうに「ワン」,威嚇して「ワン」,苦しそうに「ワン」,かわいく「ワン」,野太い声で「ワン」,英語で「ワン」,しっぽを振って「ワン」
24,んー,ふかふかお布団に入って「んー」,考え込んで「んー」,納得の「んー」,我慢して「んー」,うんざりして「んー」,ちょっと違うな、の「んー」,しぶしぶ同意の「んー」,おいしい！の「んー」
25,うなずき(表情のみ),あいづちのうなずき,わかるぞ、のうなずき,興味がなさそうなうなずき,怒られた時のうなずき,あいさつするときのうなずき,おいしいときのうなずき,上から目線のうなずき,告白にOKするときのうなずき
26,ウィンク(表情のみ),かっこいいウィンク,色っぽいウィンク,片目にゴミが入ってウィンク,下手くそなウィンク,いっけねー！のウィンク,わかってるな、のウィンク,かわいいウィンク,さりげなくウィンク
27,顔(表情のみ),好きな人を見る顔,とろけそうな顔,美味しい時の顔,すねている時の顔,泣き出しそうな顔,我慢している顔,すっぱい時の顔,興味なしの顔
28,寝顔(表情のみ),大好物を食べる夢の寝顔,何かに追われている夢の寝顔,好きな人の夢の寝顔,大金持ちになった夢の寝顔,上司に怒られた夢の寝顔,空を飛んでいる夢の寝顔,爆睡している時の寝顔,夢を見ていない時の寝顔
29,鼻を使って(表情のみ),臭いぞ、の鼻,いい香りー、の鼻,くしゃみが出る直前の鼻,ガス漏れ？の鼻,ふんがー！の鼻,泣いている時の鼻,自慢げなときの鼻,ムズムズしている鼻
30,振り向いて(振り向きと表情のみ),友達に声を掛けられて,後ろで事件が起きて,財布を落として,靴を踏まれて,幽霊の気配を感じて,不気味に,ぶりっ子風に,モデル風に
